date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:46:00	21908/21908	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2013:12:36%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/flags.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/flags.png	(from https://prestigecity-sarjapur.in/)
18:46:01	9334/9334	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Aug%202021%2000:01:38%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/gym.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/gym.png	(from https://prestigecity-sarjapur.in/)
18:46:01	9123/9123	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Aug%202021%2000:00:54%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/kids-play-area.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/kids-play-area.png	(from https://prestigecity-sarjapur.in/)
18:46:02	7423/7423	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Aug%202021%2000:14:22%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/pool.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/pool.png	(from https://prestigecity-sarjapur.in/)
18:46:02	6199/6199	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Aug%202021%2000:02:10%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/yoga.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/yoga.png	(from https://prestigecity-sarjapur.in/)
18:46:03	5010/5010	---M--	200	added ('OK')	image/png	date:Wed,%2015%20Sep%202021%2003:59:58%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/jogging.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/jogging.png	(from https://prestigecity-sarjapur.in/)
18:46:03	21607/21607	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Nov%202021%2012:37:28%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/basketball-court.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/basketball-court.png	(from https://prestigecity-sarjapur.in/)
18:46:04	7184/7184	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2013:11:02%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/net.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/net.png	(from https://prestigecity-sarjapur.in/)
18:46:04	9133/9133	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2013:10:48%20GMT	https://prestigecity-sarjapur.in/assets/img/amenity/pitch.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/amenity/pitch.png	(from https://prestigecity-sarjapur.in/)
18:46:05	908217/908217	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:32:56%20GMT	https://prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider2.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider2.jpg	(from https://prestigecity-sarjapur.in/)
18:46:05	784826/784826	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:33:58%20GMT	https://prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider7.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider7.jpg	(from https://prestigecity-sarjapur.in/)
18:46:06	869941/869941	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:33:04%20GMT	https://prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider3.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/gallery/Prestige%20City%20-slider3.jpg	(from https://prestigecity-sarjapur.in/)
18:46:06	1461/1461	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Oct%202019%2012:53:20%20GMT	https://prestigecity-sarjapur.in/assets/svg/site/loader.svg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/svg/site/loader.svg	(from https://prestigecity-sarjapur.in/)
18:46:06	820/820	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Aug%202019%2016:34:40%20GMT	https://prestigecity-sarjapur.in/assets/svg/site/zoom.svg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/svg/site/zoom.svg	(from https://prestigecity-sarjapur.in/)
18:46:07	451/451	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Aug%202019%2016:34:40%20GMT	https://prestigecity-sarjapur.in/assets/svg/site/video-play.svg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/svg/site/video-play.svg	(from https://prestigecity-sarjapur.in/)
18:46:07	1081/1081	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Aug%202019%2016:34:40%20GMT	https://prestigecity-sarjapur.in/assets/svg/site/call-back.svg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/svg/site/call-back.svg	(from https://prestigecity-sarjapur.in/)
18:46:07	869/869	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2030%20Jun%202021%2014:00:22%20GMT	https://prestigecity-sarjapur.in/assets/svg/site/msg.svg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/svg/site/msg.svg	(from https://prestigecity-sarjapur.in/)
18:46:08	19602/19602	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2015:38:44%20GMT	https://prestigecity-sarjapur.in/assets/img/icons/instant_call_back.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/icons/instant_call_back.png	(from https://prestigecity-sarjapur.in/)
18:46:08	7692/7692	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2015:38:44%20GMT	https://prestigecity-sarjapur.in/assets/img/icons/free_site_visit.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/icons/free_site_visit.png	(from https://prestigecity-sarjapur.in/)
18:46:08	16902/16902	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Jan%202022%2015:38:42%20GMT	https://prestigecity-sarjapur.in/assets/img/icons/unmatched_price.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/icons/unmatched_price.png	(from https://prestigecity-sarjapur.in/)
18:46:09	42684/42684	---M--	200	added ('OK')	font/woff	date:Mon,%2020%20Aug%202018%2015:43:16%20GMT	https://prestigecity-sarjapur.in/assets/fonts/muli/Muli-Regular.woff	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/fonts/muli/Muli-Regular.woff	(from https://prestigecity-sarjapur.in/assets/css/style-sm-1.css)
18:46:10	225406/225406	---M--	200	added ('OK')	application/javascript	date:Wed,%2030%20Jun%202021%2003:18:02%20GMT	https://prestigecity-sarjapur.in/assets/js/app-1-min.js	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/js/app-1-min.js	(from https://prestigecity-sarjapur.in/)
18:46:10	4976/4976	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Jul%202020%2022:44:40%20GMT	https://prestigecity-sarjapur.in/assets/vendor/owl.carousel/assets/owl.video.play.png	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/vendor/owl.carousel/assets/owl.video.play.png	(from https://prestigecity-sarjapur.in/assets/vendor/owl.carousel/assets/owl.carousel.min.css)
18:46:11	377080/377080	---M--	200	added ('OK')	image/jpeg	date:Mon,%2003%20Jan%202022%2011:50:14%20GMT	https://prestigecity-sarjapur.in/assets/img/map.jpg	C:/My%20Web%20Sites/Prestige/prestigecity-sarjapur.in/assets/img/map.jpg	(from https://prestigecity-sarjapur.in/)
